nutrient_id,nutrient_name
3997168657,Vitamin A
1878714002,Thiamin (vitamin B1)
2710163100,Riboflavin (vitamin B2)
1133986306,Niacin (vitamin B3; nicotinic acid)
3020967742,Pantothenic Acid (vitamin B5)
2947293078,Vitamin B6
639494358,Biotin (vitamin B7)
993883519,Folate (vitamin B9)
1857433120,Vitamin B12
817130432,Vitamin C
1604818068,Choline
2530167830,Vitamin D
1198585450,Vitamin E
2252201928,Vitamin K
2167299128,Calcium
1698891978,Chloride
2254713465,Chromium
1876865826,Copper
3569349903,Fluoride
3467209591,Iodine
612605248,Iron
1963861803,Magnesium
3671906745,Manganese
3197984987,Molybdenum
454860997,Nickel
3381839458,Phosphorus
376724923,Potassium
3780812030,Selenium
2797618007,Sodium
3525253828,Zinc
3687625003,Total Fat
3097368099,Saturated Fat
2187521773,Protein
4204841713,Carbohydrate
3344987277,Added Sugars
1890670572,Fiber
4188158356,Cholesterol
584506779,Net Carbohydrates
615906906,Omega-3 Fatty Acids
3827663318,Omega-6 Fatty Acids
3278907139,Trans Fatty Acids
1669373878,Water
2493124152,Caffeine
2448100534,Alcohol
3659120074,Monounsaturated Fatty Acids
1468544029,Polyunsaturated Fatty Acids
